Number of mutations	Number of positions with this many mutations	Number of CP 1 positions with this many mutations	Number of CP 2 positions with this many mutations	Number of CP 3 positions with this many mutations	Number of non-coding positions with this many mutations	Number of uni-mutational positions with this many mutations	Fraction of positions which are uni-mutational	Average uni-mutational fraction of positions with this many mutations
187	2	0	0	2	0	1	0.5	0.9919786096256684
188	0	0	0	0	0	0	N/A	N/A
189	0	0	0	0	0	0	N/A	N/A
190	1	0	1	0	0	1	1.0	1.0
191	0	0	0	0	0	0	N/A	N/A
192	1	0	0	1	0	1	1.0	1.0
193	0	0	0	0	0	0	N/A	N/A
194	0	0	0	0	0	0	N/A	N/A
195	0	0	0	0	0	0	N/A	N/A
196	1	1	0	0	0	0	0.0	0.9948979591836735
197	1	0	0	1	0	0	0.0	0.9898477157360406
198	0	0	0	0	0	0	N/A	N/A
199	0	0	0	0	0	0	N/A	N/A
200	0	0	0	0	0	0	N/A	N/A
201	0	0	0	0	0	0	N/A	N/A
202	0	0	0	0	0	0	N/A	N/A
203	0	0	0	0	0	0	N/A	N/A
204	0	0	0	0	0	0	N/A	N/A
205	0	0	0	0	0	0	N/A	N/A
206	0	0	0	0	0	0	N/A	N/A
207	0	0	0	0	0	0	N/A	N/A
208	0	0	0	0	0	0	N/A	N/A
209	0	0	0	0	0	0	N/A	N/A
210	0	0	0	0	0	0	N/A	N/A
211	0	0	0	0	0	0	N/A	N/A
212	0	0	0	0	0	0	N/A	N/A
213	0	0	0	0	0	0	N/A	N/A
214	0	0	0	0	0	0	N/A	N/A
215	0	0	0	0	0	0	N/A	N/A
216	0	0	0	0	0	0	N/A	N/A
217	1	0	1	0	0	1	1.0	1.0
218	0	0	0	0	0	0	N/A	N/A
219	1	1	0	0	0	1	1.0	1.0
220	0	0	0	0	0	0	N/A	N/A
221	0	0	0	0	0	0	N/A	N/A
222	0	0	0	0	0	0	N/A	N/A
223	1	1	0	0	0	1	1.0	1.0
224	0	0	0	0	0	0	N/A	N/A
225	0	0	0	0	0	0	N/A	N/A
226	0	0	0	0	0	0	N/A	N/A
227	0	0	0	0	0	0	N/A	N/A
228	0	0	0	0	0	0	N/A	N/A
229	0	0	0	0	0	0	N/A	N/A
230	0	0	0	0	0	0	N/A	N/A
231	0	0	0	0	0	0	N/A	N/A
232	0	0	0	0	0	0	N/A	N/A
233	0	0	0	0	0	0	N/A	N/A
234	0	0	0	0	0	0	N/A	N/A
235	0	0	0	0	0	0	N/A	N/A
236	0	0	0	0	0	0	N/A	N/A
237	1	0	0	1	0	1	1.0	1.0
238	0	0	0	0	0	0	N/A	N/A
239	0	0	0	0	0	0	N/A	N/A
240	0	0	0	0	0	0	N/A	N/A
241	0	0	0	0	0	0	N/A	N/A
242	0	0	0	0	0	0	N/A	N/A
243	1	1	0	0	0	0	0.0	0.9958847736625515
244	1	0	1	0	0	1	1.0	1.0
245	2	0	1	1	0	2	1.0	1.0
246	0	0	0	0	0	0	N/A	N/A
247	0	0	0	0	0	0	N/A	N/A
248	0	0	0	0	0	0	N/A	N/A
249	0	0	0	0	0	0	N/A	N/A
250	1	0	0	1	0	0	0.0	0.996
251	0	0	0	0	0	0	N/A	N/A
252	0	0	0	0	0	0	N/A	N/A
253	0	0	0	0	0	0	N/A	N/A
254	0	0	0	0	0	0	N/A	N/A
255	0	0	0	0	0	0	N/A	N/A
256	1	0	1	0	0	1	1.0	1.0
257	0	0	0	0	0	0	N/A	N/A
258	0	0	0	0	0	0	N/A	N/A
259	0	0	0	0	0	0	N/A	N/A
260	0	0	0	0	0	0	N/A	N/A
261	0	0	0	0	0	0	N/A	N/A
262	0	0	0	0	0	0	N/A	N/A
263	0	0	0	0	0	0	N/A	N/A
264	0	0	0	0	0	0	N/A	N/A
265	0	0	0	0	0	0	N/A	N/A
266	0	0	0	0	0	0	N/A	N/A
267	0	0	0	0	0	0	N/A	N/A
268	0	0	0	0	0	0	N/A	N/A
269	0	0	0	0	0	0	N/A	N/A
270	0	0	0	0	0	0	N/A	N/A
271	0	0	0	0	0	0	N/A	N/A
272	0	0	0	0	0	0	N/A	N/A
273	0	0	0	0	0	0	N/A	N/A
274	0	0	0	0	0	0	N/A	N/A
275	0	0	0	0	0	0	N/A	N/A
276	0	0	0	0	0	0	N/A	N/A
277	0	0	0	0	0	0	N/A	N/A
278	0	0	0	0	0	0	N/A	N/A
279	0	0	0	0	0	0	N/A	N/A
280	0	0	0	0	0	0	N/A	N/A
281	0	0	0	0	0	0	N/A	N/A
282	0	0	0	0	0	0	N/A	N/A
283	0	0	0	0	0	0	N/A	N/A
284	0	0	0	0	0	0	N/A	N/A
285	0	0	0	0	0	0	N/A	N/A
286	0	0	0	0	0	0	N/A	N/A
287	0	0	0	0	0	0	N/A	N/A
288	0	0	0	0	0	0	N/A	N/A
289	0	0	0	0	0	0	N/A	N/A
290	0	0	0	0	0	0	N/A	N/A
291	0	0	0	0	0	0	N/A	N/A
292	0	0	0	0	0	0	N/A	N/A
293	0	0	0	0	0	0	N/A	N/A
294	0	0	0	0	0	0	N/A	N/A
295	0	0	0	0	0	0	N/A	N/A
296	0	0	0	0	0	0	N/A	N/A
297	0	0	0	0	0	0	N/A	N/A
298	0	0	0	0	0	0	N/A	N/A
299	0	0	0	0	0	0	N/A	N/A
300	0	0	0	0	0	0	N/A	N/A
301	0	0	0	0	0	0	N/A	N/A
302	0	0	0	0	0	0	N/A	N/A
303	0	0	0	0	0	0	N/A	N/A
304	0	0	0	0	0	0	N/A	N/A
305	1	0	0	1	0	0	0.0	0.9967213114754099
306	0	0	0	0	0	0	N/A	N/A
307	0	0	0	0	0	0	N/A	N/A
308	0	0	0	0	0	0	N/A	N/A
309	0	0	0	0	0	0	N/A	N/A
310	1	0	1	0	0	1	1.0	1.0
311	0	0	0	0	0	0	N/A	N/A
312	0	0	0	0	0	0	N/A	N/A
313	0	0	0	0	0	0	N/A	N/A
314	0	0	0	0	0	0	N/A	N/A
315	0	0	0	0	0	0	N/A	N/A
316	0	0	0	0	0	0	N/A	N/A
317	0	0	0	0	0	0	N/A	N/A
318	0	0	0	0	0	0	N/A	N/A
319	0	0	0	0	0	0	N/A	N/A
320	0	0	0	0	0	0	N/A	N/A
321	0	0	0	0	0	0	N/A	N/A
322	0	0	0	0	0	0	N/A	N/A
323	0	0	0	0	0	0	N/A	N/A
324	0	0	0	0	0	0	N/A	N/A
325	0	0	0	0	0	0	N/A	N/A
326	0	0	0	0	0	0	N/A	N/A
327	0	0	0	0	0	0	N/A	N/A
328	0	0	0	0	0	0	N/A	N/A
329	0	0	0	0	0	0	N/A	N/A
330	0	0	0	0	0	0	N/A	N/A
331	0	0	0	0	0	0	N/A	N/A
332	0	0	0	0	0	0	N/A	N/A
333	0	0	0	0	0	0	N/A	N/A
334	0	0	0	0	0	0	N/A	N/A
335	0	0	0	0	0	0	N/A	N/A
336	0	0	0	0	0	0	N/A	N/A
337	0	0	0	0	0	0	N/A	N/A
338	0	0	0	0	0	0	N/A	N/A
339	0	0	0	0	0	0	N/A	N/A
340	0	0	0	0	0	0	N/A	N/A
341	0	0	0	0	0	0	N/A	N/A
342	1	0	1	0	0	0	0.0	0.9970760233918129
343	1	1	0	0	0	1	1.0	1.0
344	0	0	0	0	0	0	N/A	N/A
345	0	0	0	0	0	0	N/A	N/A
346	0	0	0	0	0	0	N/A	N/A
347	0	0	0	0	0	0	N/A	N/A
348	1	0	1	0	0	1	1.0	1.0
349	0	0	0	0	0	0	N/A	N/A
350	0	0	0	0	0	0	N/A	N/A
351	0	0	0	0	0	0	N/A	N/A
352	0	0	0	0	0	0	N/A	N/A
353	0	0	0	0	0	0	N/A	N/A
354	0	0	0	0	0	0	N/A	N/A
355	0	0	0	0	0	0	N/A	N/A
356	0	0	0	0	0	0	N/A	N/A
357	0	0	0	0	0	0	N/A	N/A
358	0	0	0	0	0	0	N/A	N/A
359	0	0	0	0	0	0	N/A	N/A
360	0	0	0	0	0	0	N/A	N/A
361	0	0	0	0	0	0	N/A	N/A
362	0	0	0	0	0	0	N/A	N/A
363	1	1	0	0	0	1	1.0	1.0
364	0	0	0	0	0	0	N/A	N/A
365	0	0	0	0	0	0	N/A	N/A
366	0	0	0	0	0	0	N/A	N/A
367	0	0	0	0	0	0	N/A	N/A
368	1	0	0	1	0	1	1.0	1.0
369	0	0	0	0	0	0	N/A	N/A
370	2	1	0	1	0	2	1.0	1.0
371	0	0	0	0	0	0	N/A	N/A
372	1	1	0	0	0	1	1.0	1.0
373	0	0	0	0	0	0	N/A	N/A
374	1	0	0	0	1	0	0.0	0.9973262032085561
375	2	0	0	1	1	1	0.5	0.9973333333333334
376	2	0	1	1	0	1	0.5	0.9986702127659575
377	0	0	0	0	0	0	N/A	N/A
378	2	1	0	1	0	0	0.0	0.9841269841269842
379	2	0	0	2	0	1	0.5	0.996042216358839
380	3	0	1	2	0	1	0.3333333333333333	0.9982456140350878
381	8	2	0	6	0	6	0.75	0.9986876640419948
382	2	0	0	1	1	0	0.0	0.993455497382199
383	1	0	0	1	0	0	0.0	0.9973890339425587
384	0	0	0	0	0	0	N/A	N/A
385	0	0	0	0	0	0	N/A	N/A
386	0	0	0	0	0	0	N/A	N/A
387	0	0	0	0	0	0	N/A	N/A
388	0	0	0	0	0	0	N/A	N/A
389	0	0	0	0	0	0	N/A	N/A
390	0	0	0	0	0	0	N/A	N/A
391	0	0	0	0	0	0	N/A	N/A
392	0	0	0	0	0	0	N/A	N/A
393	0	0	0	0	0	0	N/A	N/A
394	0	0	0	0	0	0	N/A	N/A
395	0	0	0	0	0	0	N/A	N/A
396	0	0	0	0	0	0	N/A	N/A
397	0	0	0	0	0	0	N/A	N/A
398	0	0	0	0	0	0	N/A	N/A
399	1	0	0	1	0	0	0.0	0.9949874686716792
400	0	0	0	0	0	0	N/A	N/A
401	2	0	0	2	0	1	0.5	0.9975062344139651
402	2	1	0	1	0	2	1.0	1.0
403	1	0	1	0	0	1	1.0	1.0
404	2	1	0	1	0	1	0.5	0.9962871287128713
405	4	1	1	2	0	1	0.25	0.9907407407407407
406	0	0	0	0	0	0	N/A	N/A
407	0	0	0	0	0	0	N/A	N/A
408	0	0	0	0	0	0	N/A	N/A
409	0	0	0	0	0	0	N/A	N/A
410	0	0	0	0	0	0	N/A	N/A
411	2	0	1	1	0	2	1.0	1.0
412	0	0	0	0	0	0	N/A	N/A
413	0	0	0	0	0	0	N/A	N/A
414	0	0	0	0	0	0	N/A	N/A
