Number of mutations	Number of positions with this many mutations	Number of CP 1 positions with this many mutations	Number of CP 2 positions with this many mutations	Number of CP 3 positions with this many mutations	Number of non-coding positions with this many mutations	Number of uni-mutational positions with this many mutations	Fraction of positions which are uni-mutational	Average uni-mutational fraction of positions with this many mutations
0	1545165	475684	471142	457265	142449	0	0.0	N/A
1	459624	135231	138964	139275	46460	459624	1.0	1.0
2	94247	26405	28160	28819	10927	57602	0.6111812577588677	0.8055906288794338
3	19557	5226	5614	5948	2786	10449	0.5342843994477681	0.831296551959138
4	5171	1292	1311	1625	943	2955	0.5714561980274608	0.8592631986076195
5	1855	418	423	585	432	1134	0.6113207547169811	0.8936927223719572
6	967	227	194	310	236	663	0.6856256463288521	0.9219234746639104
7	693	147	97	279	170	476	0.6868686868686869	0.9354772211915063
8	411	72	63	198	79	257	0.6253041362530414	0.9333941605839416
9	245	37	28	131	49	157	0.6408163265306123	0.9283446712018129
10	244	35	25	131	53	183	0.75	0.9545081967213122
11	225	41	34	114	36	178	0.7911111111111111	0.9680808080808075
12	225	51	34	116	24	183	0.8133333333333334	0.9788888888888885
13	215	47	25	122	21	162	0.7534883720930232	0.9742397137745977
14	174	25	18	118	13	132	0.7586206896551724	0.9774220032840724
15	190	34	20	108	28	149	0.7842105263157895	0.977543859649123
16	176	33	16	89	38	129	0.7329545454545454	0.9783380681818182
17	253	35	28	133	57	201	0.7944664031620553	0.9839572192513362
18	258	48	36	141	33	202	0.7829457364341085	0.9849267872523702
19	212	38	13	130	31	144	0.6792452830188679	0.9798907646474672
20	262	31	21	186	24	201	0.767175572519084	0.983396946564885
21	245	37	26	154	28	186	0.7591836734693878	0.9846452866861032
22	278	54	36	169	19	223	0.802158273381295	0.9879005886200136
23	348	75	42	179	53	292	0.8390804597701149	0.9877561219390308
24	445	81	49	261	54	347	0.7797752808988764	0.9886704119850179
25	419	73	55	236	55	328	0.7828162291169452	0.9894033412887816
26	530	76	65	322	68	422	0.7962264150943397	0.9898403483309132
27	436	66	45	259	66	335	0.768348623853211	0.9890417940876673
28	467	75	63	274	55	345	0.7387580299785867	0.9850107066381169
29	392	61	41	235	55	290	0.7397959183673469	0.9889162561576347
30	352	59	47	201	45	268	0.7613636363636364	0.9893939393939385
31	352	57	39	209	47	278	0.7897727272727273	0.9904692082111424
32	431	70	38	269	54	298	0.691415313225058	0.982526102088167
33	395	69	41	229	56	286	0.7240506329113924	0.9870349060222495
34	389	61	40	228	60	287	0.7377892030848329	0.9893391804022401
35	321	56	41	184	40	236	0.735202492211838	0.9902981753449042
36	264	37	19	153	55	203	0.7689393939393939	0.9915824915824925
37	351	49	36	180	86	269	0.7663817663817664	0.99091399091399
38	340	49	26	215	51	244	0.7176470588235294	0.9887770897832825
39	363	55	31	210	67	264	0.7272727272727273	0.9892632619905339
40	349	54	37	192	66	243	0.6962750716332379	0.9883237822349568
41	322	48	29	198	48	242	0.7515527950310559	0.9907589759127401
42	310	55	42	181	32	216	0.6967741935483871	0.9897849462365602
43	260	42	32	154	32	179	0.6884615384615385	0.9862254025044732
44	296	47	31	186	32	211	0.7128378378378378	0.9878685503685508
45	248	36	27	156	30	171	0.6895161290322581	0.9881720430107531
46	231	31	27	134	39	182	0.7878787878787878	0.9924712968191232
47	200	31	30	112	27	152	0.76	0.9931914893617013
48	180	26	15	110	29	137	0.7611111111111111	0.9907407407407401
49	181	16	25	123	17	127	0.7016574585635359	0.991430826474237
50	173	24	16	110	23	123	0.7109826589595376	0.9916763005780344
51	111	12	9	69	21	87	0.7837837837837838	0.992580816110228
52	129	15	10	83	21	87	0.6744186046511628	0.9886702444841977
53	121	21	10	68	22	89	0.7355371900826446	0.9881490721970994
54	104	15	8	68	13	69	0.6634615384615384	0.9870014245014243
55	110	11	9	64	26	77	0.7	0.9923966942148765
56	102	12	16	57	17	72	0.7058823529411765	0.9861694677871149
57	113	22	13	62	16	88	0.7787610619469026	0.990218910107126
58	142	20	16	90	16	111	0.7816901408450704	0.9859154929577465
59	162	23	19	102	18	119	0.7345679012345679	0.9928855409081406
60	213	45	25	123	20	162	0.7605633802816901	0.9893583724569629
61	166	23	16	111	16	116	0.6987951807228916	0.9919020343669757
62	162	28	11	103	20	122	0.7530864197530864	0.9945240939864591
63	166	31	13	107	15	115	0.6927710843373494	0.9945496270797479
64	187	29	12	124	22	134	0.7165775401069518	0.9923128342245989
65	255	35	25	161	34	206	0.807843137254902	0.9957164404223221
66	204	38	29	114	23	129	0.6323529411764706	0.9921271538918612
67	177	30	21	95	31	125	0.7062146892655368	0.9898811029597774
68	126	17	6	78	25	98	0.7777777777777778	0.9950980392156861
69	171	22	20	115	14	129	0.7543859649122807	0.9951690821256042
70	202	33	20	133	16	151	0.7475247524752475	0.9954031117397457
71	210	35	20	134	21	152	0.7238095238095238	0.9943661971830995
72	258	44	23	163	28	192	0.7441860465116279	0.9925710594315253
73	188	34	12	114	28	134	0.7127659574468085	0.9948994462255903
74	207	36	20	129	22	145	0.7004830917874396	0.9908604256430338
75	221	40	20	140	22	165	0.746606334841629	0.9954147812971349
76	158	24	19	95	20	102	0.6455696202531646	0.9910059960026651
77	149	15	19	92	23	95	0.6375838926174496	0.994334524535867
78	167	26	23	97	21	119	0.7125748502994012	0.9948564409642252
