Number of mutations	Number of positions with this many mutations	Number of CP 1 positions with this many mutations	Number of CP 2 positions with this many mutations	Number of CP 3 positions with this many mutations	Number of non-coding positions with this many mutations	Number of uni-mutational positions with this many mutations	Fraction of positions which are uni-mutational	Average uni-mutational fraction of positions with this many mutations
0	1546877	0	0	0	1546877	0	0.0	N/A
1	458547	0	0	0	458547	458547	1.0	1.0
2	93806	0	0	0	93806	57386	0.6117519135236552	0.8058759567618275
3	19417	0	0	0	19417	10398	0.53551011999794	0.8317625448489242
4	5139	0	0	0	5139	2947	0.5734578711811636	0.8600895115781281
5	1844	0	0	0	1844	1127	0.6111713665943601	0.8939262472884929
6	964	0	0	0	964	664	0.6887966804979253	0.9221991701244826
7	685	0	0	0	685	472	0.689051094890511	0.9361835245046917
8	414	0	0	0	414	259	0.6256038647342995	0.9335748792270532
9	243	0	0	0	243	156	0.6419753086419753	0.9282121627800628
10	246	0	0	0	246	184	0.7479674796747967	0.9544715447154479
11	222	0	0	0	222	176	0.7927927927927928	0.9684684684684679
12	225	0	0	0	225	183	0.8133333333333334	0.9788888888888885
13	215	0	0	0	215	162	0.7534883720930232	0.9742397137745977
14	176	0	0	0	176	133	0.7556818181818182	0.9772727272727273
15	189	0	0	0	189	149	0.7883597883597884	0.977777777777778
16	181	0	0	0	181	132	0.7292817679558011	0.9782458563535912
17	264	0	0	0	264	214	0.8106060606060606	0.9850713012477712
18	255	0	0	0	255	194	0.7607843137254902	0.983660130718956
19	209	0	0	0	209	144	0.6889952153110048	0.9801057668093673
20	268	0	0	0	268	209	0.7798507462686567	0.9843283582089546
21	243	0	0	0	243	182	0.7489711934156379	0.9841269841269843
22	265	0	0	0	265	211	0.7962264150943397	0.987307032590052
23	353	0	0	0	353	297	0.8413597733711048	0.9879295479738888
24	464	0	0	0	464	364	0.7844827586206896	0.9890445402298841
25	443	0	0	0	443	345	0.7787810383747178	0.9893453724604954
26	545	0	0	0	545	439	0.8055045871559633	0.9901905434015514
27	392	0	0	0	392	285	0.7270408163265306	0.9869614512471677
28	458	0	0	0	458	350	0.7641921397379913	0.9861197754210864
29	396	0	0	0	396	295	0.7449494949494949	0.9891152908394281
30	347	0	0	0	347	259	0.7463976945244957	0.9888568683957725
31	344	0	0	0	344	273	0.7936046511627907	0.990528882220554
32	430	0	0	0	430	298	0.6930232558139535	0.9825581395348837
33	396	0	0	0	396	287	0.7247474747474747	0.9870676461585569
34	386	0	0	0	386	284	0.7357512953367875	0.9892563242913767
